"model";"Natural";"Natural order";"Long iteration algorithm";"Long algorithm";"Medium iteration algorithm";"Medium algorithm";"Short iteration algorithm";"Short algorithm";"Force";"Order Edges";"Order Edges + Pre_Post";"Order Edges Reversed";"Order Edges Reversed + Pre_Post";"Order Edges Reversed + Pre_Post longer";"Order Pre Post";"Force 2";"Force 3"
"shared_memory-pt-5.pnml";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,01"
"rwmutex-r10w2000.pnml";"1205,03";"1200,47";"1202,12";"1202,19";"1202,07";"1201,27";"1203,79";"1201,78";"1200,12";"1200,10";"1200,19";"1200,16";"1200,12";"1200,20";"1200,52";"1200,14";"1203,51"
"RAS-C-20.pnml";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,08";"0,08";"0,12";"0,15";"0,14";"0,01";"0,73";"0,01"
"philosophers-5.pnml";"0,02";"0,01";"0,02";"0,01";"0,02";"0,02";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,02"
"echo-d5r3.pnml";"1200,17";"1200,19";"1200,13";"1200,16";"1200,15";"1200,14";"1200,13";"1200,14";"1200,52";"1200,21";"1200,11";"1200,24";"1200,20";"1200,20";"1200,19";"1200,15";"1200,20"
"QCertifProtocol_32-unfold.pnml";"1200,31";"1200,11";"1202,13";;"1200,57";"1201,30";"1200,08";"1200,05";"1200,86";"1200,95";"1201,53";"1200,10";"1200,12";"1200,31";"1206,23";"1200,98";"1200,25"
"echo-d3r5.pnml";"1200,08";"1200,03";"1200,05";"1200,06";"1200,04";"1200,12";"1200,07";"1200,12";"1200,10";"1200,18";"1200,09";"1200,06";"1200,10";"1200,10";"1200,17";"1200,06";"1200,13"
"unf-8x8-4stageSEN-02.pnml";"1200,24";"1200,27";"1200,14";"1200,20";"1200,13";"1200,17";"1200,27";"1200,17";"1200,14";"1200,23";"1200,03";"1200,12";"1200,34";"1200,24";"1200,03";"1200,23";"1200,06"
"HouseConstruction-200.pnml";"1200,02";"1200,09";"1200,07";"1200,06";"1200,08";"1200,05";"1200,01";"1202,86";"1200,09";"1200,06";"1200,02";"1210,88";"1200,09";"1200,02";"1200,07";"1200,42";"1200,07"
"FMS-2.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"unf-8x8-4stageSEN-05.pnml";"1200,06";"1200,84";"1200,40";"1200,28";"1200,29";"1201,26";"1200,41";"1200,69";"1200,13";"1200,08";"1201,43";"1200,08";"1200,04";"1200,04";"1200,09";"1200,12";"1200,38"
"philosophers-500.pnml";"1200,06";"1200,12";"1200,04";"1200,04";"1200,12";"1200,11";"1200,12";"1200,05";"1200,11";"1,06";"1,86";"1,08";"7,09";"5,31";"1200,13";"1200,09";"1200,05"
"RAS-R-3.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"unf-8x8-4stageSEN-01.pnml";"2,37";"2,32";"2,23";"2,42";"2,32";"2,31";"2,34";"2,25";"1,30";"1,30";"2,03";"2,14";"2,47";"2,18";"1,62";"1,87";"2,41"
"HouseConstruction-005.pnml";"0,06";"0,05";"0,07";"0,05";"0,05";"0,05";"0,06";"0,07";"0,08";"0,11";"0,20";"0,07";"0,14";"0,15";"0,05";"0,50";"0,06"
"philosophers-2000.pnml";"1200,30";"1200,22";"1200,16";"1200,19";"1200,14";"1200,20";"1200,21";"1200,19";;;;;;;;;"1200,39"
"RAS-C-50.pnml";"0,03";"0,04";"0,03";"0,03";"0,04";"0,02";"0,02";"0,02";"0,02";"0,92";"2,19";"0,81";"2,31";"2,36";"0,02";"1200,05";"0,03"
"shared_memory-pt-10.pnml";"0,73";"0,74";"1,01";"0,68";"0,99";"0,66";"0,95";"0,71";"0,28";"0,20";"0,17";"0,17";"0,18";"0,16";"0,16";"364,79";"0,77"
"echo-d4r3.pnml";"1200,07";"1200,08";"1200,07";"1200,06";"1200,09";"1200,03";"1200,02";"1200,02";"1200,16";"1200,30";"1200,13";"1200,06";"1200,25";"1200,07";"1200,11";"1200,07";"1200,08"
"lamport_fmea-4.pnml";"1200,12";"1200,18";"1200,08";"1200,14";"1200,15";"1200,11";"1200,11";"1200,06";"22,56";"18,31";"15,89";"18,74";"24,62";"24,22";"20,42";"161,08";"1200,10"
"FMS-5.pnml";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,02";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,01";"0,03";"0,02"
"Kanban-200.pnml";"1200,05";"1200,03";"1200,08";"1200,83";"1200,03";"1200,09";"1202,34";"1200,12";"1200,03";"1202,96";"1206,13";"1200,08";"272,35";"260,06";"1200,09";"1200,19";"1201,69"
"rwmutex-r100w10.pnml";"1200,07";;;"1200,02";;"1200,18";;;"1200,43";"1200,07";"1200,02";"1200,01";"1200,26";"1200,17";"1200,26";"1201,47";"1200,05"
"unf-8x8-4stageSEN-10.pnml";"1200,59";"1200,13";"1200,06";"1200,04";"1200,15";"1200,14";"1200,09";"1200,04";"1200,01";"1200,10";"1200,08";"1200,43";"1200,49";"1200,02";"1200,07";"1200,55";"1200,02"
"rwmutex-r500w10.pnml";"1200,15";;"1200,06";"1200,27";"1200,04";;"1200,09";"1200,18";"1206,40";"1200,06";"1200,15";"1203,47";"1200,05";"1206,31";"1200,12";"1201,21";"1200,12"
"lamport_fmea-6.pnml";"1200,53";"1200,06";"1200,02";"1200,46";"1200,07";"1200,25";"1200,10";"1200,13";"1200,04";"1200,04";"1200,14";"1200,20";"1200,12";"1200,14";"1200,06";"1200,16";"1200,10"
"RAS-R-10.pnml";"0,11";"0,16";"0,16";"0,14";"0,18";"0,10";"0,12";"0,11";"0,00";"0,01";"0,01";"0,01";"0,00";"0,00";"0,00";"0,04";"0,11"
"dekker-100.pnml";"1200,27";"1202,72";"1203,78";"1200,10";"1200,32";"1200,06";"1200,02";"1200,03";"1200,10";"1200,98";"1200,08";"1200,01";"1201,03";"1200,22";"1200,01";"1200,11";"1200,43"
"echo-d3r3.pnml";"1200,83";"1200,19";"1200,08";;"1200,22";"1200,16";"1200,02";"1200,13";"1200,06";"1200,20";"1200,08";"1200,10";"1200,23";"1200,08";"1200,07";"1200,03";"1200,11"
"rwmutex-r2000w10.pnml";"1208,11";"1200,28";;"1200,31";"1200,17";;;;"1200,27";"1200,42";"1200,26";"1204,16";"1216,15";"1200,24";"1201,75";"1202,94";"1205,33"
"philosophers-50.pnml";"1206,68";;;;;;;;"0,04";"0,05";"0,05";"0,06";"0,06";"0,06";"1,06";"1200,09";"1206,92"
"MAPK-40.pnml";"1200,59";"1200,32";"1200,34";"1200,30";"1200,00";"1200,46";"1200,29";"1200,14";"0,39";"49,86";"6,36";"50,16";"6,44";"6,32";"4,55";"1200,05";"1201,95"
"RAS-R-15.pnml";"1200,11";"1200,10";"1200,10";"1200,05";"1200,01";"1200,08";"1200,02";"1200,10";"0,01";"0,03";"0,03";"0,04";"0,04";"0,04";"0,01";"0,84";"1200,10"
"lamport_fmea-3.pnml";"4,37";"4,70";"4,81";"4,54";"4,26";"5,97";"4,45";"5,48";"0,74";"0,66";"0,62";"0,41";"0,45";"0,44";"0,63";"0,50";"4,54"
"HouseConstruction-010.pnml";"0,72";"0,62";"0,84";"0,62";"0,69";"0,66";"0,69";"0,78";"1,58";"2,18";"9,63";"1,27";"4,89";"5,11";"0,63";"339,27";"0,73"
"RAS-C-100.pnml";"0,06";"0,08";"0,07";"0,05";"0,06";"0,05";"0,08";"0,05";"0,05";"0,99";"2,42";"0,98";"1200,04";"1200,13";"0,05";"1200,10";"0,05"
"philosophers-200.pnml";"1200,10";"1200,11";"1200,06";"1200,04";"1200,07";"1200,07";"1200,04";"1200,09";"0,66";"0,42";"0,43";"0,44";"0,43";"0,43";"1,26";"1200,24";"1200,10"
"QCertifProtocol_10-unfold.pnml";"1200,07";"1200,06";"1201,51";"1200,52";"1200,04";"1200,08";"1200,10";"1200,14";"1203,64";"1200,05";"1200,05";"1200,11";"1200,17";"1200,95";"1200,32";"1200,43";"1200,13"
"FMS-20.pnml";"0,85";"0,66";"0,77";"0,71";"0,69";"0,71";"0,76";"0,81";"0,15";"0,12";"0,13";"0,42";"0,14";"0,15";"0,13";"1,82";"0,87"
"TokenRing-50-unfolded.pnml";"1200,19";"1200,09";"1200,11";"1200,06";"1200,07";"1200,15";"1200,15";"1200,11";"1200,16";"1200,13";"1200,15";"1200,15";"1200,13";"1200,16";"1200,16";"1200,22";"1200,16"
"Kanban-20.pnml";"4,05";"3,52";"3,58";"3,22";"3,21";"3,19";"3,23";"3,20";"2,78";"190,62";"8,12";"0,22";"0,12";"0,11";"4,97";"1200,11";"4,03"
"railroad-020-pt.pnml";"1200,05";"1200,23";"1200,13";"1200,12";"1200,20";"1200,21";"1200,21";"1200,40";"1200,05";"1200,02";"1200,21";"1200,08";"1200,17";"1200,10";"1200,04";"1200,06";"1200,13"
"MAPK-320.pnml";"1200,05";"1200,03";"1200,12";"1200,10";"1200,09";"1200,09";"1200,06";"1200,14";"278,52";"1200,04";"1200,06";"1200,10";"1200,07";"1200,09";"1200,03";"1200,87";"1200,76"
"simple_lbs-15.pnml";"1200,08";"1200,04";"1200,08";"1200,04";"1200,09";"1200,09";"1200,08";"1200,01";"1200,07";"1200,06";"1200,07";"1200,03";"1200,05";"1200,12";"1200,03";"1200,20";"1200,03"
"TokenRing-15-unfolded.pnml";"1200,09";"1200,02";"1200,03";"1200,02";"1200,07";"1200,02";"1200,07";"1200,03";"1,95";"5,29";"4,37";"5,50";"4,31";"0,79";"0,60";"4,31";"1200,05"
"HouseConstruction-050.pnml";"1200,08";"1200,06";"1200,08";"1202,24";"1200,01";"1200,04";"1200,09";"1200,07";"1200,04";"1200,12";"1200,04";"1200,02";"1200,04";"1200,37";"1200,01";"1201,14";"1200,01"
"dekker-50.pnml";"1200,81";"1200,09";"1200,14";"1200,60";"1201,17";"1201,53";"1200,04";"1200,07";"1201,12";"1203,49";"1200,12";"1200,02";"1200,84";"1200,23";"1200,07";"1200,28";"1200,05"
"simple_lbs-20.pnml";"1200,06";"1200,07";"1200,02";"1200,06";"1200,07";"1200,03";"1200,02";"1200,06";"1200,10";"1200,03";"1200,08";"1200,27";"1200,03";"1200,12";"1200,02";"1200,09";"1200,04"
"echo-d2r19.pnml";"1200,13";"1200,07";"1200,08";"1200,14";"1200,12";"1200,08";"1200,16";"1200,15";"1200,15";"1200,14";"1200,14";"1200,18";"1200,10";"1200,18";"1200,13";"1200,14";"1200,21"
"philosophers-10.pnml";"65,34";"67,72";"73,88";"66,48";"67,74";"68,09";"72,53";"67,52";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"63,87"
"philo_dyn-20-unfolded.pnml";"1200,02";"1200,11";"1200,02";"1200,05";"1200,07";"1200,10";"1200,03";"1200,11";"1200,05";"1200,07";"1200,10";"1200,11";"1200,10";"1200,11";"1200,11";"1200,02";"1200,09"
"eratosthenes-050.pnml";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00"
"lamport_fmea-2.pnml";"0,10";"0,11";"0,12";"0,10";"0,08";"0,13";"0,09";"0,12";"0,03";"0,03";"0,03";"0,02";"0,02";"0,02";"0,03";"0,02";"0,10"
"dekker-20.pnml";"1200,15";"1200,03";"1200,08";"1200,09";"1200,14";"1200,06";"1200,46";"1200,05";"1200,03";"1200,13";"3,00";"1200,05";"3,05";"3,87";"2,56";"1200,16";"1200,54"
"echo-d2r11.pnml";"1200,06";"1200,10";"1200,01";"1200,05";"1200,08";"1200,04";"1200,06";"1200,09";"1200,14";"1200,06";"1200,07";"1200,08";"1200,16";"1200,11";"1200,12";"1200,10";"1200,05"
"simple_lbs-10.pnml";"1200,02";"1200,03";"1200,01";"1200,02";"1200,06";"1200,09";"1200,10";"1200,07";"1200,06";"1200,06";"1200,02";"1200,06";"1200,18";"1200,02";"1200,08";"1200,04";"1200,01"
"distributeur-01-SN-02.pnml";"0,07";"0,06";"0,06";"0,06";"0,06";"0,06";"0,06";"0,06";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,07"
"FMS-50.pnml";"23,90";"20,09";"22,35";"22,15";"19,94";"21,25";"22,61";"22,82";"1,79";"1,57";"1,68";"9,11";"1,83";"1,88";"1,61";"72,78";"24,41"
"FMS-500.pnml";"1200,06";;;;;;;;"1200,04";"1319,00";"1200,05";"1200,00";"1332,48";"1200,04";"1200,07";"1200,12";"1203,69"
"eratosthenes-200.pnml";"0,12";"0,10";"0,12";"0,10";"0,12";"0,10";"0,11";"0,11";"0,02";"0,03";"0,03";"0,04";"0,03";"0,03";"0,02";"0,10";"0,12"
